Word,AROU,VAL,DOM,CNC,IMAG,FAM,SIZE,GEND
adorable,1,1,1,0,0,1,1,0
adore,1,1,1,0,0,0,1,0
adult,1,1,1,1,1,1,1,1
adultery,1,0,0,0,0,0,1,1
adults,0,1,1,1,1,1,1,1
advanced,1,1,1,0,0,1,1,0
advantage,1,1,1,0,0,1,1,1
adventure,1,1,1,0,0,1,1,1
adverb,0,0,1,0,0,0,0,0
adverse,0,0,0,0,0,0,1,1
adversity,1,0,0,0,0,0,1,1
advice,0,1,1,0,0,1,1,0
advise,0,1,1,0,0,1,1,0
advisor,0,1,1,1,0,1,0,1
advisors,0,1,0,1,0,1,1,0
aeroplane,1,1,0,1,1,1,1,1
afar,0,0,0,0,0,0,1,0
affair,1,0,0,0,0,1,1,1
affect,0,0,1,0,0,1,1,0
affection,1,1,1,0,0,1,1,0
affectionate,1,1,1,0,0,1,1,0
afford,1,1,1,0,0,1,1,1
affordable,1,1,0,0,0,1,0,0
afraid,1,0,0,0,0,1,1,0
after,0,1,0,0,0,1,0,0
afterlife,1,1,0,0,0,0,1,0
age,0,0,0,0,0,1,1,0
aged,0,0,0,0,0,1,1,1
agent,0,1,1,1,0,0,0,1
aggression,1,0,1,0,0,0,1,1
aggressive,1,0,1,0,0,1,1,1
agile,1,1,1,0,0,0,0,0
agility,1,1,1,0,0,0,1,0
agony,1,0,0,0,0,1,1,0
agree,1,1,1,0,0,1,1,0
agreement,1,1,1,0,0,1,1,0
aid,1,1,0,0,0,1,1,0
aim,1,1,1,0,0,1,1,1
aim (objective),1,1,1,0,0,1,1,1
aim (target),1,1,1,1,1,1,0,1
air,1,1,0,0,0,1,1,0
airplane,1,1,1,1,1,1,1,1
airport,1,1,1,1,1,1,1,1
aisle,0,1,0,1,1,0,0,0
albatross,0,1,1,1,1,0,1,1
album,0,1,1,1,1,1,0,1
alcohol,1,1,0,1,1,1,1,1
alcoholic,1,0,0,0,1,1,1,1
alert,1,1,1,0,0,0,1,1
algebra,0,0,0,0,1,1,0,1
alien,1,0,0,0,1,0,1,1
alimony,0,0,0,0,0,0,1,1
alive,1,1,1,0,1,1,1,0
all,0,1,1,0,0,1,1,0
allergy,0,0,0,1,0,1,0,0
alley,0,0,0,1,1,0,0,1
alligator,1,0,0,1,1,1,1,1
allow,0,1,1,0,0,1,0,0
allowed,1,1,0,0,0,1,1,0
allure,1,1,0,0,0,0,1,0
aloft,0,1,0,0,0,0,0,0
alone,0,0,0,0,0,1,0,0
aloof,0,0,1,0,0,0,0,0
aloud,1,1,1,0,0,1,1,0
altar,0,0,0,1,1,0,1,0
alter,1,1,0,0,0,0,0,0
altitude,1,1,1,0,0,0,1,1
amateur,0,0,0,0,0,0,0,1
amaze,1,1,1,0,0,1,1,0
amazing,1,1,1,0,0,1,1,0
ambassador,1,1,1,1,0,0,1,1
amber,1,1,0,1,1,0,0,0
ambition,1,1,1,0,0,1,1,1
ambulance,1,0,0,1,1,1,1,1
ammunition,1,0,1,1,1,0,1,1
amount,0,1,1,0,0,1,1,1
amphibian,0,1,1,1,1,0,0,0
amplifier,1,1,1,1,1,0,1,1
amplify,1,1,1,0,0,0,1,1
amputate,1,0,0,1,1,0,1,1
amuse,1,1,1,0,0,1,1,0
amusement,1,1,1,0,0,1,1,0
amusing,1,1,1,0,0,1,1,0
analogue,0,0,0,0,0,0,0,1
analyst,0,1,1,1,0,0,0,1
anchor,0,1,1,1,1,0,1,1
ancient,0,1,0,0,0,0,1,1
anecdote,1,1,1,0,0,0,0,0
angel,1,1,0,0,1,1,1,0
anger,1,0,0,0,0,1,1,1
angle,0,0,0,0,1,0,0,1
angry,1,0,1,0,1,1,1,1
anguish,1,0,0,0,0,0,1,0
animal,1,1,1,1,1,1,1,0
animals,1,1,1,1,1,1,1,0
animosity,1,0,0,0,0,0,1,0
ankle,0,1,0,1,1,1,0,0
annoy,0,0,1,0,0,1,0,1
annoyance,0,0,0,0,0,1,1,1
annoying,0,0,0,0,0,1,1,1
answer,0,1,1,0,0,1,1,0
ant,0,0,0,1,1,1,0,1
anteater,0,1,1,1,1,0,0,1
antelope,0,1,1,1,1,0,1,0
anthem,1,1,1,0,0,0,1,1
anthropology,0,1,1,0,0,0,1,1
anticipation,1,1,0,0,0,0,1,0
anus,0,0,0,1,1,0,0,1
anxiety,1,0,0,0,0,1,1,0
anxious,1,0,0,0,0,1,1,0
apathy,1,0,0,0,0,0,0,0
ape,1,1,0,1,1,1,1,1
apex,0,1,1,0,0,0,1,0
apologize,1,1,0,0,0,1,1,0
apology,0,1,1,0,0,1,1,0
appalling,1,0,0,0,0,0,1,1
appear,0,1,1,0,0,1,0,0
appearance,1,1,0,0,0,1,1,0
appeared,1,1,1,0,0,1,0,0
applause,1,1,1,1,1,1,1,0
apple,1,1,1,1,1,1,0,0
Apple (brand),1,1,0,1,1,1,1,1
apple (fruit),1,1,1,1,1,1,0,0
appliance,0,1,1,1,1,1,0,1
applied,0,1,1,0,0,0,1,1
apply,0,1,1,0,0,1,0,0
appoint,0,1,1,0,0,0,0,1
appointment,0,0,0,1,0,1,0,0
appreciate,1,1,1,0,0,1,1,0
approval,1,1,0,0,0,1,1,0
approve,1,1,1,0,0,1,1,0
apricot,0,1,1,1,1,1,0,0
apron,0,1,0,1,1,0,0,0
aptitude,0,1,1,0,0,0,1,1
arch,0,1,0,1,1,0,1,1
archaeology,0,1,1,1,0,0,1,1
archer,0,0,1,1,1,0,0,1
archery,1,1,1,1,1,0,0,1
architect,0,1,1,1,1,1,1,1
archive,0,1,0,1,0,0,1,0
argue,1,0,1,0,1,1,1,1
argument,1,0,1,0,0,1,1,1
arise,1,1,1,0,0,0,1,0
aristocracy,1,0,0,0,0,0,1,0
aristocratic,0,0,0,0,0,0,1,1
arm,0,1,1,1,1,1,0,1
arm (limb),0,1,1,1,1,1,0,1
arm (weapon),1,0,1,1,1,0,1,1
armadillo,0,1,0,1,1,0,0,1
armed,1,0,1,1,1,0,1,1
armour,0,1,1,1,1,0,1,1
armoury,1,0,1,1,1,0,1,1
arms,0,1,1,1,1,1,0,1
arms (limbs),0,1,1,1,1,1,0,1
arms (weapons),1,0,0,1,1,0,1,1
army,1,0,0,1,1,1,1,1
aroma,1,1,1,0,0,0,0,0
arouse,1,1,1,0,0,0,1,0
aroused,1,1,1,0,0,1,1,1
array,0,1,1,0,0,0,1,0
arrest,0,0,0,1,1,1,1,1
arrested,1,0,0,1,0,1,1,1
arrive,1,1,1,0,0,1,0,0
arrogant,0,0,1,0,0,1,1,1
arrow,0,0,1,1,1,0,0,1
arrows,0,0,1,1,1,0,0,1
arse,1,0,1,1,1,1,0,1
arsehole,0,0,0,1,1,1,0,1
arson,1,0,1,1,0,0,1,1
art,1,1,1,0,1,1,1,0
artist,1,1,1,1,1,1,1,0
arts,1,1,1,0,0,1,1,0
ascend,1,1,1,0,0,0,1,0
ascent,1,1,1,0,0,0,1,0
ashamed,0,0,0,0,0,1,1,0
ashes,0,0,0,1,1,0,0,1
aspect,0,1,1,0,0,0,0,0
aspirin,0,0,0,1,1,1,0,0
ass,1,0,1,1,1,1,0,1
ass (donkey),0,0,1,1,1,0,0,1
ass (insult),1,0,0,0,0,0,0,1
assassin,1,0,0,1,1,0,1,1
assassinate,1,0,1,1,1,0,1,1
assault,1,0,0,0,1,1,1,1
asshole,1,0,1,1,0,1,0,1
assist,1,1,1,0,0,1,0,0
assistant,0,1,0,1,1,1,0,0
assuring,1,1,1,0,0,0,1,0
asteroid,1,0,0,1,1,0,1,1
asthma,0,0,0,1,1,0,0,1
astonish,1,1,1,0,0,0,1,0
astonished,1,1,0,0,0,1,1,0
astronaut,1,1,0,1,1,0,1,1
astronomer,1,1,1,1,1,0,1,1
astronomy,1,1,1,0,1,0,1,1
athletic,1,1,1,0,1,1,1,1
athletics,0,1,1,1,1,1,1,1
atmosphere,1,1,0,0,0,1,1,0
atom,0,1,0,1,0,0,0,1
atomic,1,0,0,0,1,0,1,1
atoms,1,1,0,1,0,1,0,1
atrocious,1,0,0,0,0,0,1,1
atrocity,1,0,0,0,0,0,1,1
attack,1,0,0,0,1,1,1,1
attacker,1,0,0,1,1,0,1,1
attempt,0,1,1,0,0,1,0,0
attendant,0,0,0,1,1,0,0,0
attention,1,1,1,0,0,1,1,0
attic,0,0,0,1,1,0,1,1
attitude,1,0,1,0,0,1,1,0
attract,1,1,1,0,0,1,1,0
attraction,1,1,1,0,0,1,1,0
attractive,1,1,1,0,0,1,1,0
attribute,0,1,1,0,0,0,1,0
auction,0,1,0,1,1,1,1,1
auctioneer,0,0,1,1,1,0,0,1
audience,1,1,1,1,1,1,1,0
auditorium,0,1,0,1,1,0,1,1
aunt,0,1,0,1,1,1,0,0
authentic,1,1,1,0,0,1,1,0
author,1,1,1,1,0,1,0,0
autopsy,1,0,0,1,1,0,1,1
autumn,1,1,0,1,1,1,1,0
avalanche,1,0,0,1,1,0,1,1
avenge,1,0,1,0,0,0,1,1
avenue,0,1,0,1,1,0,1,0
award,1,1,1,1,1,1,1,0
awarded,1,1,1,0,0,1,1,0
aware,1,1,1,0,0,1,1,0
away,0,0,0,0,0,1,0,0
awe,1,1,0,0,0,1,1,0
awesome,1,1,1,0,0,1,1,1
awful,0,0,0,0,0,1,1,1
awkward,1,0,0,0,0,1,1,0
axe,1,0,1,1,1,0,0,1
axle,0,0,1,1,1,0,0,1
baboon,0,1,0,1,1,0,1,1
baby,0,1,0,1,1,1,0,0
background,0,1,0,0,0,1,1,0
bacon,1,1,1,1,1,1,0,1
bacteria,0,0,0,1,1,1,0,1
bad,1,0,0,0,0,1,1,1
badge,0,1,1,1,1,1,0,1
badger,0,0,1,1,1,1,0,1
bag,0,1,1,1,1,1,0,0
baggage,0,0,0,1,1,1,1,0
bail,0,0,0,0,0,0,0,1
bait,1,0,0,1,0,0,0,1
bake,1,1,1,1,1,1,0,0
baker,0,1,1,1,1,1,0,1
bald,0,0,0,1,1,1,0,1
ball,0,1,1,1,1,1,0,1
ball (dance),1,1,1,1,1,0,1,0
ball (sphere),0,1,0,1,1,1,0,1
balloon,1,1,1,1,1,1,0,0
ballroom,1,1,1,1,1,0,1,0
bamboo,0,1,1,1,1,0,0,0
ban,0,0,0,0,0,1,0,1
banal,0,0,0,0,0,0,0,1
banana,1,1,1,1,1,1,0,0
band,1,1,1,1,1,1,1,1
band (music),1,1,1,1,1,1,1,1
band (ribbon),0,1,1,1,1,0,0,0
bandage,0,0,0,1,1,1,0,0
bandit,1,0,1,1,1,0,1,1
bandits,1,0,0,1,1,0,1,1
bang,1,0,0,0,0,1,1,1
banjo,1,1,1,1,1,0,0,1
bank,0,0,0,1,1,1,1,1
bank (money),1,1,0,1,1,1,1,1
bank (rely),0,0,0,0,0,0,0,1
bank (river),0,1,0,1,1,0,1,0
banker,0,0,0,1,1,1,0,1
bankrupt,0,0,0,0,0,1,1,1
banks,0,0,0,1,1,1,1,1
banks (money),0,0,0,1,1,1,1,1
banks (river),0,1,0,1,1,1,1,1
banner,0,1,1,1,1,0,0,1
bar,1,1,1,1,1,1,1,1
bar (legal),0,0,0,0,0,0,0,1
bar (metal),0,0,1,1,1,0,0,1
bar (musical),1,1,1,1,1,0,0,0
bar (pub),1,1,1,1,1,1,1,1
bare,1,0,0,0,0,0,0,0
barely,0,0,0,0,0,1,0,1
barge,0,0,1,1,1,0,1,1
barge (boat),0,1,1,1,1,0,1,1
barge (push),1,0,1,0,1,0,1,1
bark,1,0,1,1,1,1,0,1
bark (dog),1,0,0,1,1,1,0,1
bark (tree),0,1,1,1,1,1,0,1
barley,0,0,1,1,1,0,0,1
barn,0,1,1,1,1,1,1,1
barnacle,0,0,0,1,1,0,0,1
baroque,0,0,0,0,0,0,1,0
barrage,0,0,0,0,0,0,1,1
barrel,0,0,0,1,1,0,0,1
barrier,0,0,0,1,1,1,1,1
basement,0,0,0,1,1,1,0,1
basket,0,1,1,1,1,1,0,0
basketball,0,1,0,1,1,1,0,1
bass,0,1,1,1,0,0,0,1
bass (fish),0,1,0,1,1,0,0,1
bass (guitar),1,1,1,1,1,1,1,1
bassoon,0,1,1,1,1,0,1,1
bastard,1,0,0,0,0,1,1,1
bastards,1,0,0,0,0,1,1,1
bat,1,1,1,1,1,0,0,1
bat (animal),0,1,0,1,1,1,0,1
bat (club),0,0,1,1,1,0,0,1
bath,1,1,1,1,1,1,0,0
bathroom,0,1,1,1,1,1,0,0
battered,1,0,0,1,1,1,1,1
battery,0,1,0,1,1,1,0,1
battle,1,0,1,1,1,0,1,1
bayonet,0,0,0,1,1,0,0,1
bazooka,1,0,1,1,1,0,1,1
beach,1,1,1,1,1,1,1,0
bead,0,1,1,1,1,0,0,0
beagle,0,1,0,1,1,0,0,0
beak,0,0,0,1,1,0,0,0
beaker,0,0,0,1,1,0,0,1
bean,0,1,1,1,1,1,0,1
bear,1,0,1,1,1,1,1,1
beard,0,1,1,1,1,1,0,1
beast,1,0,1,1,1,0,1,1
beat,1,0,1,0,0,1,0,1
beat (hit),1,0,0,1,1,0,1,1
beat (mix),0,1,1,1,1,1,0,1
beat (rhythm),1,1,1,0,0,1,1,1
beaten,1,0,0,0,0,1,1,1
beautician,0,0,0,1,1,0,0,0
beautiful,1,1,1,0,1,1,1,0
beauty,1,1,1,0,0,1,1,0
beaver,1,1,1,1,1,0,0,1
become,1,1,1,0,0,1,1,0
bed,1,1,1,1,1,1,1,0
bee,1,0,1,1,1,1,0,0
beef,1,1,1,1,1,1,0,1
beehive,1,0,0,1,1,0,0,0
beer,1,1,1,1,1,1,0,1
beet,0,1,1,1,0,0,0,0
beetle,0,0,0,1,1,0,0,1
befall,0,0,0,0,0,0,0,0
beg,0,0,0,0,0,1,0,0
beggar,0,0,0,1,1,0,0,1
begin,1,1,1,0,0,1,0,0
beginning,1,1,1,0,0,1,1,0
behalf,0,1,1,0,0,0,0,0
behave,0,1,0,0,0,1,1,0
behaviour,1,1,1,0,0,1,1,0
behind,0,0,0,0,0,1,0,0
beige,0,0,0,0,1,1,0,0
belfry,0,1,0,1,0,0,0,1
belief,1,1,1,0,0,1,1,0
believe,1,1,1,0,0,1,1,0
bell,0,1,1,1,1,1,0,0
belly,0,0,0,1,1,1,0,1
belong,1,1,1,0,0,1,1,0
belt,0,0,0,1,1,1,0,1
bench,0,1,0,1,1,1,0,1
bend,0,0,0,0,1,1,0,0
beneficial,1,1,1,0,0,1,1,0
benefit,1,1,1,0,0,1,1,0
bereavement,0,0,0,0,0,0,1,0
berry,1,1,1,1,1,1,0,0
best,1,1,1,0,0,1,1,0
betray,1,0,0,0,0,1,1,1
betrayal,1,0,0,0,0,0,1,1
beverage,1,1,1,1,1,1,0,1
beware,1,0,0,0,0,1,1,1
bicycle,1,1,1,1,1,1,0,0
bid,0,1,1,0,0,0,0,1
bigot,0,0,0,0,0,0,1,1
bike,1,1,1,1,1,1,0,1
billion,1,1,1,0,0,1,1,1
binder,0,0,0,1,1,0,0,1
biology,1,1,0,1,0,1,1,0
bird,1,1,1,1,1,1,0,0
birth,1,1,0,1,1,1,1,0
birthday,1,1,1,1,1,1,1,0
biscuit,1,1,1,1,1,1,0,0
bishop,0,1,0,1,1,0,0,1
bison,0,1,1,1,1,0,1,1
bit,0,0,0,0,0,1,0,1
bit (bite),0,0,1,1,1,1,0,1
bit (horse bridal),0,1,0,1,1,0,0,0
bit (small amount),0,0,0,0,0,1,0,0
bitch,1,0,0,0,0,1,1,0
bitchy,1,0,0,0,0,1,1,0
bitter,1,0,0,0,0,0,0,1
bizarre,1,0,0,0,0,0,1,1
black,0,0,1,1,1,1,1,1
blackmail,1,0,0,0,0,0,1,1
blacksmith,0,1,1,1,1,0,1,1
blade,1,0,1,1,1,1,0,1
blame,0,0,0,0,0,1,1,1
bland,0,0,0,0,0,0,0,0
blank,0,0,0,0,0,1,0,0
blasphemy,1,0,0,0,0,0,1,1
blaze,1,0,1,1,1,0,1,1
blazes,1,0,0,0,1,0,1,1
bleak,0,0,0,0,0,0,0,1
blend,0,1,1,0,0,0,0,0
blender,0,1,1,1,1,0,0,0
bless,0,1,0,0,0,0,1,0
blessed,1,1,1,0,0,0,1,0
blessing,1,1,1,0,0,1,1,0
blessings,1,1,1,0,0,1,1,0
blimp,0,1,0,1,1,0,1,1
blind,0,0,0,1,1,1,0,0
bliss,1,1,1,0,0,0,1,0
blister,0,0,0,1,1,1,0,1
block,0,0,0,1,1,1,0,1
bloke,1,1,1,1,1,1,0,1
blond,1,1,1,1,1,1,0,0
blonde,1,1,1,1,1,1,0,0
blood,1,0,0,1,1,1,1,1
bloody,1,0,0,1,1,1,1,1
bloom,1,1,1,0,1,0,0,0
blossom,1,1,1,1,1,0,0,0
blouse,0,1,1,1,1,1,0,0
blow,1,0,1,0,0,1,0,0
blow (hit),1,0,0,1,1,0,1,1
blow (wind),0,0,0,0,0,1,1,0
blubber,0,0,0,1,1,0,1,0
blubber (cry),0,0,0,0,1,0,0,0
blubber (fat),0,0,0,1,1,0,1,0
blue,1,1,1,1,1,1,0,1
blueberry,1,1,1,1,1,1,0,0
bluff,0,0,1,0,0,0,0,1
blunder,0,0,0,0,0,0,1,1
blunt,0,0,1,0,0,0,0,1
board,0,0,1,1,1,1,0,1
board (enter),0,1,1,1,0,0,0,1
board (executive),0,0,1,1,1,0,1,1
board (wooden),0,0,0,1,1,0,0,1
boarded,0,0,0,0,0,0,1,1
boast,1,0,1,0,0,0,1,1
boastful,0,0,1,0,0,0,1,1
boat,1,1,1,1,1,1,1,1
body,1,1,0,1,1,1,0,0
boil,1,0,0,1,1,1,1,1
boiler,0,0,1,1,1,0,1,1
bold,1,1,1,0,0,1,1,1
bollocks,1,0,1,1,1,1,0,1
bomb,1,0,0,1,1,1,1,1
bomber,1,0,0,1,1,0,1,1
bond,1,1,0,0,0,1,1,0
bondage,1,0,0,1,1,0,1,1
bonds,0,1,0,0,0,0,1,0
bonds (money),0,1,0,1,0,0,1,1
bonds (restraints),1,0,0,1,1,0,1,1
bone,0,1,1,1,1,1,0,1
bones,1,1,1,1,1,1,0,1
bongo,1,1,1,1,1,0,0,1
bonnet,0,0,0,1,1,0,0,0
bonus,1,1,1,0,0,0,1,1
book,1,1,1,1,1,1,0,0
book (read),1,1,1,1,1,1,0,0
book (reserve),0,1,1,1,0,1,0,0
bookcase,0,1,1,1,1,1,1,0
boom,1,0,1,0,0,1,1,1
boost,1,1,1,0,0,0,1,1
boot,0,1,1,1,1,1,0,1
boot (car),0,0,1,1,1,1,0,1
boot (evict),0,0,0,0,0,0,1,1
boot (shoe),0,0,1,1,1,1,0,1
bored,0,0,0,0,0,1,0,1
boredom,0,0,0,0,0,1,1,1
boring,0,0,0,0,0,1,0,1
born,1,1,0,0,0,1,0,0
borrow,0,0,0,0,0,1,0,0
bosom,1,1,1,1,1,0,1,0
boss,0,0,0,1,1,1,1,1
botanist,0,1,0,1,1,0,1,0
botany,0,1,0,1,0,0,1,0
bother,0,0,0,0,0,1,1,1
bottle,0,1,1,1,1,1,0,1
bottom,0,0,0,1,1,1,0,0
bought,1,1,1,0,0,1,1,0
boulder,0,0,1,1,1,0,1,1
bounce,1,1,1,0,1,1,0,0
bouncy,1,1,1,0,1,1,0,0
bound,1,0,0,0,0,0,0,1
bouquet,1,1,1,1,1,0,0,0
bout,0,0,0,0,0,0,1,1
bow,0,1,0,1,1,0,0,0
bow (bend),0,0,0,1,1,0,0,1
bow (ribbon),0,1,0,1,1,1,0,0
bow (ship),0,1,1,1,1,0,1,1
bow (weapon),1,0,1,1,1,0,0,1
bowel,0,0,0,1,1,0,0,1
bowl,0,1,1,1,1,1,0,0
box,0,0,0,1,1,1,0,1
box (container),0,1,0,1,1,1,0,1
box (sport),0,0,1,1,1,0,1,1
boxer,1,0,1,1,1,1,1,1
boxer (dog),0,0,1,1,1,0,0,1
boxer (fighter),1,0,1,1,1,0,1,1
boxing,0,0,1,1,1,1,0,1
boy,0,1,1,1,1,1,0,1
boycott,1,0,1,0,0,0,1,1
bra,1,1,0,1,1,1,0,0
bracelet,1,1,1,1,1,1,0,0
bracket,0,0,0,1,1,0,0,1
brain,1,1,1,1,1,1,1,1
brainy,1,1,1,0,0,0,1,0
brake,0,0,0,1,1,1,0,1
brand,0,0,0,0,0,1,1,0
brass,0,1,1,1,0,0,0,1
brasserie,1,1,0,1,1,0,0,0
brassiere,1,1,1,1,1,0,0,0
brave,1,1,1,0,0,1,1,1
bravery,1,1,1,0,0,1,1,1
brazen,0,0,1,0,0,0,1,1
breach,1,0,0,0,0,0,1,1
bread,0,1,0,1,1,1,0,0
break,1,0,0,0,0,1,0,1
break (destroy),1,0,1,1,1,1,1,1
break (luck),1,1,0,0,0,0,1,0
break (rest),0,1,1,0,0,1,0,0
breakfast,1,1,1,1,1,1,0,0
breast,1,1,1,1,1,1,0,0
breasts,1,1,1,1,1,1,0,0
breeze,1,1,1,0,1,1,0,0
brew,0,1,1,1,1,0,0,1
brewer,0,0,0,1,0,0,0,1
bribe,1,0,0,0,0,0,1,1
bridal,1,1,1,0,1,0,1,0
bridal (horse),0,0,0,1,1,0,0,0
bridal (marriage),1,1,0,0,1,0,1,0
bride,1,1,1,1,1,1,1,0
bridegroom,1,1,0,1,1,0,1,1
bridesmaid,0,1,0,1,1,0,0,0
bridesmaids,1,1,0,1,1,0,0,0
bridge,0,1,1,1,1,1,1,1
bridge (card game),0,0,1,1,1,0,0,1
bridge (structure),0,1,1,1,1,1,1,1
brief,0,0,0,0,0,1,0,1
bright,1,1,1,0,1,1,1,0
bright (light),1,1,1,1,1,1,1,0
bright (smart),1,1,1,0,0,1,1,0
brilliant,1,1,1,0,0,1,1,0
brilliant (great),1,1,1,0,0,1,1,0
brilliant (intelligent),1,1,1,0,0,1,1,0
brilliant (luminous),1,1,1,0,0,1,1,0
brink,1,0,0,0,0,0,0,1
brisk,1,1,1,0,0,0,0,1
broccoli,0,1,1,1,1,1,0,0
broken,0,0,0,0,0,1,0,0
bronze,0,1,1,1,1,1,0,1
broom,0,0,1,1,1,1,0,0
brother,0,1,1,1,1,1,1,1
brow,0,1,0,1,1,0,0,0
brown,0,0,0,1,1,1,0,1
brunch,1,1,1,1,1,0,0,0
brunette,1,1,1,1,1,1,0,0
brush,0,1,1,1,1,1,0,0
brushed,0,1,0,0,0,1,0,0
brutal,1,0,0,0,0,0,1,1
brute,1,0,0,0,0,0,1,1
bubble,1,1,0,1,1,1,0,0
bubbly,1,1,1,0,0,1,0,0
buffalo,0,1,1,1,1,0,1,1
bugle,0,0,0,1,1,0,0,1
build,1,1,1,1,1,1,1,1
builder,0,1,1,1,1,1,0,1
building,0,1,0,1,1,1,1,1
bulb,0,1,1,1,1,1,0,0
bulb (light),0,1,1,1,1,1,0,1
bulb (plant),0,1,1,1,1,0,0,0
bulge,0,0,0,1,1,0,1,1
bulk,0,0,1,1,0,0,1,1
bull,1,0,1,1,1,1,1,1
bulldozer,0,0,1,1,1,0,1,1
bullet,1,0,0,1,1,0,0,1
bullish,0,0,1,0,0,0,1,1
bully,0,0,0,1,1,1,1,1
bundle,0,1,0,1,1,0,0,0
bungalow,0,1,1,1,1,0,1,0
bunk,0,0,1,1,1,0,0,1
bunk (bed),0,1,1,1,1,0,0,1
bunk (truant),1,0,1,0,0,0,0,1
bunny,1,1,1,1,1,1,0,0
buoy,0,1,0,1,1,0,0,1
burden,0,0,0,0,0,1,1,0
burger,1,1,1,1,1,1,0,1
burglar,1,0,0,1,1,0,1,1
burglary,1,0,0,0,0,0,1,1
burgle,1,0,0,1,1,0,1,1
burial,0,0,0,1,1,0,1,1
burn,1,0,0,1,1,1,1,1
burner,0,0,1,1,1,0,0,1
burnt,1,0,0,0,1,1,0,1
burst,1,0,0,0,0,0,1,1
bury,0,0,0,1,1,0,0,1
bus,0,1,0,1,1,1,1,1
business,0,1,1,1,0,1,1,1
businessman,0,0,1,1,1,1,1,1
bust,1,1,1,1,1,0,1,0
bust (break),0,0,0,0,0,0,0,1
bust (breasts),1,1,1,1,1,1,0,0
bust (sculpture),0,1,0,1,1,0,0,0
busy,0,0,0,0,0,1,1,0
busybody,0,0,0,0,1,0,0,0
butcher,0,0,0,1,1,0,1,1
butler,0,0,0,1,1,0,0,1
butt,1,0,0,1,1,1,0,0
butter,0,1,1,1,1,1,0,0
butterfly,1,1,1,1,1,1,0,0
button,0,1,1,1,1,1,0,0
buy,1,1,1,0,0,1,1,0
buzzard,0,1,1,1,1,0,0,1
cabin,0,1,1,1,1,0,0,1
cabinet,0,0,0,1,1,0,1,1
cabinet (closet),0,0,0,1,1,0,0,0
cabinet (council),0,0,0,1,0,0,1,1
cacti,0,0,0,1,1,0,0,1
cactus,0,0,1,1,1,0,0,1
cafe,0,1,1,1,1,1,0,0
cake,1,1,0,1,1,1,0,0
cakes,1,1,1,1,1,1,0,0
calcium,0,1,0,1,0,0,0,1
calculus,0,0,0,0,0,0,1,1
