Word,Auditory.mean,Foot_leg.mean,Gustatory.mean,Hand_arm.mean,Haptic.mean,Head.mean,Interoceptive.mean,Mouth.mean,Olfactory.mean,Torso.mean,Visual.mean
ABSTINENT,0,0,0,0,0,1,1,0,0,1,0
ABSTINENTLY,0,1,1,0,0,0,1,1,1,1,0
ABSTRACT,0,0,0,0,1,1,1,1,0,0,1
ABSTRACTED,0,0,0,0,0,1,0,0,0,0,0
ABSTRACTEDLY,0,0,0,0,0,1,0,0,0,0,0
ABSTRACTEDNESS,1,0,0,0,0,1,1,0,0,0,1
ABSTRACTION,0,0,0,1,0,1,0,1,0,0,0
ABSTRACTIONISM,1,0,0,0,0,0,0,0,0,0,1
ABSTRACTIONIST,0,0,0,0,0,1,0,0,1,0,1
ABSTRACTIVE,1,0,0,0,0,1,0,0,0,0,1
ABSTRACTLY,1,0,0,0,0,1,1,0,0,0,0
ABSTRACTNESS,1,0,0,0,0,1,1,1,0,0,1
ABSURD,1,0,0,0,0,1,1,1,0,0,0
ABSURDITY,1,0,0,0,0,1,1,1,0,0,0
ABSURDLY,1,1,1,1,0,1,1,1,1,1,0
ABSURDNESS,1,0,0,0,0,1,1,0,0,0,1
ABUNDANCE,0,0,1,0,1,1,0,0,1,0,1
ABUNDANT,0,0,1,1,1,1,0,0,1,0,1
ABUNDANTLY,0,0,0,0,1,1,0,0,0,0,1
ABUSE,1,1,0,1,1,1,1,1,0,1,1
ABUSER,1,1,1,1,1,0,1,1,1,1,1
ABUSIVE,1,1,0,1,1,1,1,1,0,1,1
ABUSIVELY,1,1,0,1,0,1,1,1,0,1,1
ABUSIVENESS,1,1,0,1,1,0,1,1,0,1,1
ABYSMALLY,1,0,0,0,0,1,1,1,1,0,0
ABYSS,1,0,0,0,0,1,1,0,0,0,1
ACADEMIA,1,0,0,0,0,1,0,1,0,0,0
ACADEMIC,0,0,0,0,0,1,0,1,0,0,0
ACADEMIC YEAR,0,0,0,0,0,1,1,0,0,0,0
ACADEMICALLY,1,0,0,0,0,1,1,1,0,0,1
ACADEMY,0,1,0,0,0,1,0,0,0,0,1
ACCELERANT,0,1,0,1,0,0,1,0,1,0,0
ACCELERATE,1,1,0,0,1,0,1,0,0,1,0
ACCELERATED,0,1,0,1,0,1,1,1,0,1,0
ACCELERATION,1,1,1,0,1,1,1,0,1,1,1
ACCELERATIVE,1,1,0,1,0,1,0,0,0,1,1
ACCELERATOR,1,1,0,0,1,0,1,0,0,0,0
ACCELERATORY,1,1,0,1,0,0,1,0,0,1,0
ACCELEROMETER,0,1,0,1,1,1,0,0,0,0,1
ACCENT,1,0,1,0,0,1,0,1,0,0,0
ACCENTUALLY,0,0,0,0,0,0,0,0,0,0,0
ACCENTUATE,1,0,1,0,0,0,0,1,1,0,0
ACCENTUATION,1,0,0,0,0,1,0,1,0,0,0
ACCEPT,1,0,0,1,1,1,1,1,0,0,0
ACCEPTABILITY,0,0,0,0,0,1,1,1,0,0,0
ACCEPTABLE,1,0,1,0,1,1,1,1,1,1,1
ACCEPTABLENESS,1,1,1,1,0,1,1,1,1,1,1
ACCEPTABLY,1,0,1,0,0,1,1,0,0,0,0
ACCEPTANCE,1,0,0,0,1,1,1,1,0,0,0
ACCEPTANT,1,0,0,0,0,1,1,1,0,0,0
ACCEPTED,1,0,1,0,0,1,1,1,0,1,0
ACCEPTOR,1,0,0,0,0,0,0,1,0,0,1
ACCESS,0,1,1,1,1,1,0,1,0,1,0
ACCESSIBILITY,0,1,0,1,1,1,0,1,0,1,1
ACCESSIBLE,0,1,0,1,0,1,0,0,0,1,1
ACCESSIBLY,0,1,0,0,0,0,0,0,0,0,1
ACCESSORIZE,0,1,0,1,1,1,0,0,0,1,1
ACCESSORY,0,1,0,1,1,0,0,0,0,1,1
ACCIDENT,1,1,0,1,0,1,1,1,0,1,1
ACCIDENTAL,1,1,0,0,0,0,1,0,1,1,1
ACCIDENTALLY,1,1,0,1,0,0,1,0,1,0,0
ACCIDENTLY,1,1,0,1,0,1,0,1,0,1,0
ACCLAIM,1,0,0,0,0,1,1,1,0,0,0
ACCLAIMER,1,0,0,0,0,1,0,1,0,0,1
ACCLAMATION,1,0,0,0,0,1,1,1,0,0,0
ACCLIMATE,0,1,0,0,0,1,1,0,0,1,0
ACCLIMATION,0,1,1,1,0,1,1,1,1,1,0
ACCLIMATIZATION,0,1,1,0,0,1,1,0,0,1,0
ACCLIMATIZE,0,1,0,0,0,1,1,0,0,1,0
ACCOLADE,1,0,0,0,0,0,0,0,0,0,0
ACCOMMODATE,0,0,0,0,0,0,0,1,0,0,0
ACCOMMODATING,1,0,0,0,0,1,1,1,0,0,0
ACCOMMODATINGLY,0,0,0,0,0,0,1,0,0,0,0
ACCOMMODATION,0,1,0,1,0,1,1,1,0,1,1
ACCOMMODATIVE,1,0,0,0,0,0,0,1,0,0,1
ACCOMMODATOR,1,0,0,0,0,0,0,1,0,0,1
ACCOMPANIER,1,1,0,1,0,0,0,1,0,1,0
ACCOMPANIMENT,1,0,0,0,0,0,0,1,0,0,0
ACCOMPANY,0,1,1,1,1,0,1,0,0,1,1
ACCOMPLICE,1,0,0,0,0,1,1,0,1,0,0
ACCOMPLISH,0,1,1,1,0,1,1,1,1,1,0
ACCOMPLISHABLE,1,1,0,1,0,0,1,1,0,1,0
ACCOMPLISHED,1,0,0,0,0,0,1,0,0,0,0
ACCOMPLISHER,0,1,0,1,0,1,0,1,0,1,0
ACCOMPLISHMENT,1,0,0,0,0,1,1,0,0,0,1
ACCORD,0,0,0,0,0,1,0,1,0,0,0
ACCORDANCE,1,0,0,0,0,0,1,1,0,0,0
ACCORDANTLY,0,0,0,0,0,0,0,0,0,0,0
ACCORDING,1,0,1,0,0,1,0,1,0,0,0
ACCORDINGLY,1,0,0,0,0,0,0,0,0,0,0
ACCORDION,1,0,0,1,1,1,0,0,0,1,1
ACCORDIONIST,1,0,0,1,0,0,0,0,0,1,0
ACCOSTED,1,1,0,1,0,0,1,1,0,1,0
ACCOUNT,1,0,1,0,0,1,0,1,1,0,0
ACCOUNTABILITY,1,0,1,0,0,1,1,1,1,0,0
ACCOUNTABLE,1,0,0,0,0,1,1,1,0,0,0
ACCOUNTABLENESS,1,0,0,0,0,1,1,1,0,0,0
ACCOUNTABLY,1,0,0,0,0,1,1,0,0,0,0
ACCOUNTANCY,0,0,0,0,1,0,0,0,0,0,1
ACCOUNTANT,1,0,0,0,0,1,0,1,0,0,1
ACCOUNTING,1,0,1,1,0,1,0,1,0,0,0
ACCREDIT,1,0,1,0,0,1,1,1,1,0,0
ACCREDITATION,0,0,0,1,0,1,0,0,0,0,0
ACCREDITED,1,0,0,0,0,1,0,0,0,0,0
ACCRUE,0,0,0,1,0,0,0,0,0,0,0
ACCRUEMENT,0,0,0,0,0,1,0,0,0,0,1
ACCUMULATE,0,1,0,1,1,1,0,0,0,0,1
ACCUMULATION,0,0,0,1,1,0,0,0,0,0,1
ACCUMULATIVE,0,0,1,1,1,1,0,0,0,0,1
ACCUMULATIVELY,0,1,1,1,1,0,0,0,1,1,1
ACCUMULATIVENESS,0,0,0,0,0,0,0,0,0,0,0
ACCUMULATOR,0,1,0,1,0,0,0,1,0,1,0
ACCURACY,1,1,1,1,1,1,0,1,1,1,1
ACCURATE,1,0,1,1,1,1,1,1,1,0,1
ACCURATELY,1,1,0,1,0,1,0,1,0,1,0
ACCURATENESS,1,1,1,1,0,1,1,1,1,1,1
ACCURSED,1,0,0,0,0,0,1,1,0,0,0
ACCUSABLE,1,0,0,0,0,1,0,1,0,0,0
ACCUSATION,1,0,0,0,0,1,0,1,0,0,0
ACCUSATIVE,1,0,0,0,0,1,0,1,0,0,0
ACCUSATIVELY,1,0,0,0,0,1,1,1,0,0,0
ACCUSATORIAL,1,0,0,0,0,0,0,1,0,0,0
ACCUSATORY,1,0,0,0,0,0,1,1,0,0,0
ACCUSE,1,0,0,0,0,1,1,1,0,0,0
ACCUSED,1,0,0,0,0,1,1,1,0,0,0
ACCUSER,1,0,0,0,0,1,1,1,0,1,1
ACCUSINGLY,1,0,0,1,0,1,1,1,0,1,0
ACCUSTOM,0,0,1,0,0,0,1,0,1,0,0
ACCUSTOMED,0,0,1,0,0,1,1,0,1,0,0
ACE,0,0,0,1,0,0,0,0,0,0,0
ACETAMINOPHEN,0,0,1,0,1,1,1,1,0,1,1
ACETONE,0,0,1,1,0,0,0,0,1,0,0
ACETYLENE,0,0,1,0,0,0,0,0,1,0,0
ACHE,0,1,0,1,1,1,1,1,0,1,0
ACHIEVABLE,0,1,0,1,0,1,1,1,0,1,0
ACHIEVE,0,1,0,0,0,1,1,1,0,1,0
ACHIEVEMENT,1,1,0,0,0,1,1,1,0,1,1
ACHIEVER,1,0,0,0,0,0,1,1,0,1,1
ACHINESS,0,1,0,1,1,0,1,1,0,1,0
ACHING,0,1,0,1,1,1,1,1,0,1,0
ACHINGLY,0,1,0,1,1,1,1,1,0,1,0
ACHY,0,1,0,1,1,1,1,1,0,1,0
ACID,0,1,1,1,1,0,1,1,1,1,0
ACID RAIN,1,1,1,0,1,0,0,0,1,1,1
ACID TEST,0,0,1,1,1,0,1,0,1,0,1
ACIDIC,0,0,1,0,1,0,1,1,1,1,0
ACIDIFICATION,0,0,1,0,0,0,1,0,0,0,0
ACIDIFY,0,0,1,0,0,0,0,0,1,0,0
ACIDITY,0,0,1,0,1,0,1,1,1,1,0
ACIDLY,1,0,1,0,0,0,0,1,1,0,0
ACIDOMETER,0,0,0,1,1,0,0,0,1,0,1
ACKNOWLEDGE,1,0,0,0,0,1,1,1,0,0,0
ACKNOWLEDGEABLE,1,0,0,0,0,1,1,1,1,0,0
ACKNOWLEDGED,1,0,0,0,0,1,1,1,0,0,0
ACKNOWLEDGEMENT,1,0,0,0,0,1,1,1,0,0,1
ACNE,0,0,0,1,1,1,0,0,0,1,1
ACORN,0,1,1,1,1,0,0,1,1,0,1
ACOUSTIC,1,0,0,1,0,1,0,1,0,1,0
ACOUSTICAL,1,0,1,0,0,1,0,0,1,0,0
ACOUSTICALLY,1,0,0,0,0,1,0,0,0,0,0
ACOUSTICS,1,0,0,0,0,1,0,0,0,0,0
ACQUAINT,1,0,0,1,0,0,1,1,0,0,1
ACQUAINTANCE,1,0,0,1,1,1,0,1,1,0,1
ACQUAINTED,1,0,0,1,0,1,1,1,0,0,0
ACQUIESCE,1,0,0,0,0,0,1,1,0,0,1
ACQUIESCENTLY,1,0,1,0,0,0,1,1,0,0,0
ACQUIRABLE,0,0,1,1,1,0,1,0,0,0,0
ACQUIRE,0,0,1,1,1,0,0,1,1,0,0
ACQUIRED,1,0,1,1,1,0,0,1,1,1,1
ACQUIREMENT,0,0,1,1,1,1,0,0,1,0,0
ACQUIRER,0,0,0,1,0,0,0,0,0,0,0
ACQUISITION,0,1,0,1,0,0,0,1,0,0,0
ACQUISITIVE,0,0,0,0,0,0,1,0,0,0,0
ACQUISITIVELY,1,0,1,0,1,1,1,0,1,0,0
ACQUIT,1,0,0,0,0,0,0,1,0,0,0
ACQUITTAL,1,0,0,0,0,0,1,1,0,0,0
ACQUITTER,1,0,0,0,0,1,0,1,0,0,0
ACRE,0,1,0,0,0,0,0,0,0,0,1
ACRID,0,0,1,0,0,1,0,1,1,0,0
ACRIMONIOUSLY,1,0,0,0,0,0,1,1,0,0,0
ACROBAT,0,1,0,1,0,0,0,0,0,1,1
ACROBATIC,0,1,0,1,0,0,1,0,0,1,1
ACROBATICALLY,0,1,0,1,1,0,1,0,0,1,1
ACROBATICS,0,1,0,1,0,0,0,0,1,1,1
ACRONYM,1,0,0,0,0,1,0,1,0,0,1
ACROPHOBIA,0,1,0,0,0,1,1,0,0,1,0
ACROSS,0,1,0,1,0,1,0,0,0,1,1
ACRYLIC,0,0,0,1,1,1,0,0,1,0,1
ACT,1,1,0,1,0,1,0,1,0,1,1
ACT ON,1,1,0,1,0,1,1,1,0,1,0
ACT OUT,1,1,0,1,0,0,1,1,0,0,0
ACT UPON,1,1,0,1,0,1,1,1,0,1,0
ACTING,1,1,0,1,0,1,1,1,0,1,1
ACTION,1,1,0,1,0,1,1,1,0,1,1
ACTIONABLE,0,1,1,1,0,0,1,0,0,0,1
ACTIVATE,1,1,0,1,1,0,0,1,0,0,1
ACTIVATION,0,1,1,1,1,1,0,1,0,0,0
ACTIVATOR,0,0,0,1,0,1,0,1,0,0,1
ACTIVE,0,1,0,1,0,1,1,1,0,1,1
ACTIVELY,0,1,1,1,0,0,1,1,0,1,1
ACTIVENESS,0,1,0,1,0,1,1,1,0,1,1
ACTIVISM,1,1,0,0,0,1,0,1,0,1,0
ACTIVIST,1,1,0,1,0,1,0,1,0,1,1
ACTIVITY,1,1,1,1,1,1,1,1,1,1,1
ACTOR,1,1,0,1,1,1,0,1,0,1,1
ACTRESS,1,1,0,1,0,1,0,1,1,1,1
ACTS,1,1,0,1,0,1,0,1,0,1,0
ACTUAL,1,0,1,0,1,0,1,0,0,0,1
ACTUALITY,1,0,1,0,0,1,1,0,1,0,0
ACTUALIZATION,1,0,0,0,0,0,1,0,0,0,0
ACTUALIZE,0,1,0,1,0,1,1,1,0,1,0
ACTUALLY,0,0,0,0,0,0,0,0,0,0,0
ACTUARIAL,0,0,0,0,0,0,0,0,0,0,0
ACUPRESSURE,0,1,0,1,1,0,1,0,0,1,0
ACUPUNCTURE,0,1,0,1,1,1,1,0,0,1,0
ACUPUNCTURIST,1,1,0,1,1,1,1,0,0,1,1
ACUTE,0,1,1,0,1,0,1,0,1,1,0
ACUTELY,0,0,1,0,0,0,0,0,1,0,0
ACUTENESS,1,0,0,0,0,0,1,0,0,0,0
AD,1,0,0,0,0,1,0,0,0,0,1
ADAGE,1,0,0,0,0,1,0,1,0,0,0
ADAMANT,1,1,1,0,0,1,1,1,1,1,0
ADAMANTLY,1,0,0,0,0,0,0,1,0,0,0
ADAPT,1,1,0,1,0,1,1,0,0,1,1
ADAPTABILITY,0,1,0,1,0,1,1,1,0,1,0
ADAPTABLE,1,0,1,0,0,1,1,0,1,0,1
ADAPTATION,1,0,1,0,0,1,1,1,0,0,1
ADAPTER,0,0,0,1,1,1,0,0,0,0,1
ADAPTION,0,1,0,1,0,1,1,1,1,1,0
ADAPTIVE,1,1,0,1,0,1,1,1,0,1,0
ADAPTIVELY,1,1,0,0,0,1,1,1,0,1,0
ADAPTOR,0,0,0,1,1,0,0,0,0,0,1
ADD,0,0,0,1,0,1,1,0,0,0,0
ADD ON,0,0,0,0,0,0,0,0,0,0,0
ADD UP,0,0,0,1,0,1,0,0,0,0,0
ADDED,1,0,1,1,0,1,0,0,0,0,1
ADDENDUM,1,0,0,0,0,1,0,1,0,0,1
ADDICT,1,1,1,1,0,1,1,1,1,1,1
ADDICTED,0,1,1,0,0,1,1,1,1,1,0
ADDICTEDNESS,0,0,1,0,0,1,1,0,1,0,1
ADDICTION,0,1,1,1,0,1,1,1,0,1,0
ADDICTIVE,0,0,1,0,0,1,1,1,1,1,0
ADDICTIVENESS,0,1,1,0,0,1,1,1,1,1,0
ADDITION,0,0,0,1,0,1,0,1,0,0,1
ADDITIONAL,0,0,1,0,0,0,0,0,1,0,1
ADDITIONALLY,1,0,0,0,0,0,0,0,0,0,0
ADDITIVE,0,0,1,0,0,0,0,1,1,0,0
ADDITIVELY,0,1,0,0,0,0,0,0,0,1,0
ADDRESS,1,0,0,0,0,1,0,1,0,0,1
ADDRESSABLE,1,0,0,1,0,0,0,1,0,0,0
ADDRESSBOOK,0,0,0,1,1,1,0,0,0,0,1
ADDRESSEE,1,0,0,1,0,1,0,1,0,0,1
ADDRESSER,1,0,0,0,0,0,0,1,0,0,0
ADDRESSOR,1,1,0,1,0,1,0,1,0,1,0
ADEPT,1,1,0,1,0,1,1,0,0,0,0
ADEPTLY,1,1,1,1,0,1,1,1,1,0,0
ADEPTNESS,1,1,0,1,0,1,1,1,0,1,1
ADEQUACY,0,0,0,0,0,0,1,0,0,0,0
ADEQUATE,1,1,0,0,0,1,1,0,0,1,1
ADEQUATELY,0,1,1,1,0,1,1,1,0,1,0
ADEQUATENESS,0,0,0,0,0,1,1,1,0,1,0
ADHERE,0,0,0,0,1,1,1,0,0,1,0
ADHERENCE,1,0,1,0,1,0,1,0,1,0,1
ADHERENT,1,0,0,0,0,1,0,1,0,0,0
ADHERENTLY,1,0,0,0,0,0,0,0,0,0,0
ADHESION,0,0,0,1,1,0,0,0,0,0,1
ADHESIVE,0,0,0,1,1,0,0,0,1,0,1
ADHESIVELY,0,1,1,1,1,0,0,0,0,0,0
ADHESIVENESS,0,0,0,1,1,1,0,0,0,0,1
ADJACENT,0,1,0,0,1,0,0,0,0,0,1
ADJACENTLY,0,1,0,0,1,0,0,0,0,0,1
ADJECTIVALLY,1,0,0,0,0,0,0,1,0,0,0
ADJECTIVE,1,0,1,0,0,1,0,1,0,0,0
ADJOIN,0,1,0,1,1,0,0,0,0,1,0
ADJOINED,0,1,1,1,1,0,0,0,0,1,1
ADJOINING,0,0,1,1,1,0,0,0,1,1,1
ADJOURN,1,1,0,0,0,1,0,1,0,0,0
ADJOURNMENT,1,0,0,0,0,1,0,1,0,0,0
ADJUDICATE,1,0,0,0,0,1,0,1,0,0,0
ADJUDICATION,1,0,0,0,0,0,0,1,0,0,0
ADJUNCT,1,0,0,0,0,0,0,0,0,0,0
ADJUST,0,1,0,1,1,1,1,1,0,1,1
ADJUSTABILITY,0,1,0,1,1,0,0,0,0,1,0
ADJUSTABLE,0,1,0,1,1,0,0,0,0,0,1
ADJUSTABLY,1,1,1,1,1,0,1,0,1,1,1
ADJUSTER,1,1,0,1,0,0,0,0,0,0,0
ADJUSTMENT,0,1,1,1,1,0,0,1,1,1,1
ADJUSTOR,1,0,0,0,0,1,0,0,0,0,0
ADMIN,1,0,0,0,0,0,0,1,0,0,0
ADMINISTER,1,0,0,1,1,0,0,1,0,0,1
ADMINISTRABLE,0,0,0,0,0,0,1,0,0,0,0
ADMINISTRATE,1,0,0,0,0,0,0,1,0,0,0
ADMINISTRATION,1,0,0,0,0,1,0,1,0,0,1
ADMINISTRATIONAL,1,0,0,1,0,1,0,1,0,0,0
ADMINISTRATIVE,1,0,0,0,0,0,0,0,0,0,0
ADMINISTRATIVELY,1,0,0,0,0,1,0,1,0,0,0
ADMINISTRATOR,1,0,0,0,0,0,0,1,0,0,1
ADMIRABLE,1,0,0,0,0,1,1,1,0,0,0
ADMIRABLENESS,1,0,0,0,0,1,1,1,0,0,0
ADMIRABLY,1,0,0,0,0,0,1,1,0,0,0
ADMIRAL,1,1,0,1,0,1,0,1,0,1,1
ADMIRALSHIP,0,0,0,0,0,0,0,0,0,0,0
ADMIRATION,1,0,1,0,0,1,1,1,1,1,0
ADMIRE,1,0,0,0,0,1,1,1,0,0,0
ADMIRED,1,0,0,0,0,1,1,1,0,0,0
ADMIRER,1,0,0,0,0,1,1,1,0,0,1
ADMIRING,1,0,1,0,0,1,1,1,1,0,0
ADMIRINGLY,1,0,0,0,0,1,1,1,0,0,0
ADMISSIBILITY,0,0,0,0,0,1,0,1,0,0,0
ADMISSIBLE,1,0,1,0,0,1,0,1,1,0,0
ADMISSIBLENESS,1,0,0,0,0,0,0,0,0,0,0
ADMISSIBLY,1,0,0,0,0,0,0,0,0,0,0
ADMISSION,1,1,0,0,1,0,1,1,0,0,1
ADMISSIVE,0,0,0,0,0,0,0,1,0,0,0
ADMIT,1,0,0,0,0,1,0,1,0,0,0
ADMITTANCE,1,1,0,0,0,1,0,1,0,1,1
ADMITTED,1,0,0,0,0,1,0,1,0,0,0
ADMITTEDLY,1,0,0,0,0,1,0,1,0,0,0
ADMITTER,1,0,0,0,0,0,0,1,0,0,0
ADMONISHINGLY,1,0,0,0,0,0,1,1,0,0,0
ADMONISHMENT,1,0,0,0,0,1,1,1,0,0,0
ADOBE,0,0,0,0,1,0,0,0,0,0,1
ADOLESCENCE,1,1,1,1,0,1,1,1,0,1,1
ADOLESCENT,1,1,0,0,0,1,0,1,0,1,1
ADOLESCENTLY,0,0,0,0,0,0,0,0,0,0,0
ADOPT,0,0,0,1,0,0,1,1,0,1,0
ADOPTABILITY,0,0,0,0,0,1,0,0,0,0,0
ADOPTABLE,0,1,0,1,0,0,0,1,0,1,0
ADOPTED,1,0,1,0,0,1,1,0,1,1,0
ADOPTEE,1,1,0,0,0,0,0,0,0,0,0
ADOPTER,0,0,0,1,0,0,0,0,0,0,0
ADOPTION,1,0,0,0,0,0,0,0,0,0,0
ADOPTIVE,0,0,0,0,0,0,0,0,0,0,0
ADOPTIVELY,1,0,0,0,0,0,1,1,0,0,0
ADORABILITY,0,0,0,0,0,1,1,1,0,0,1
ADORABLE,1,0,0,0,0,0,1,0,0,0,1
ADORABLENESS,1,0,0,0,0,1,1,0,0,0,1
ADORABLY,1,0,0,0,1,1,1,1,1,1,1
